"titles" "years" "links" "rateCount" "rateValue" "genre" "director" "production" "time"
"Lœnienie " "1980" "/film/L%C5%9Bnienie-1980-1020" 396390 "7,77" "Horror" "  Stanley Kubrick " "USA  /  Wielka Brytania" "2 godz. 26 min."
"Sami swoi " "1967" "/film/Sami+swoi-1967-1113" 253478 "7,77" "Komedia obycz." "  Sylwester Chêciñski " "Polska" "1 godz. 18 min."
"Skrzypek na dachu " "1971" "/film/Skrzypek+na+dachu-1971-1301" 63081 "7,77" "Dramat  /  Musical" "  Norman Jewison " "USA" "3 godz. 1 min."
"Ch³opaki nie p³acz¹ " "2000" "/film/Ch%C5%82opaki+nie+p%C5%82acz%C4%85-2000-843" 410280 "7,77" "Komedia  /  Sensacyjny" "  Olaf Lubaszenko " "Polska" "1 godz. 36 min."
"Sens ¿ycia wg Monty Pythona " "1983" "/film/Sens+%C5%BCycia+wg+Monty+Pythona-1983-1100" 126696 "7,77" "Komedia" "  Terry Gilliam   /    Terry Jones " "Wielka Brytania" "1 godz. 47 min."
"Œciana " "1982" "/film/%C5%9Aciana-1982-8673" 50513 "7,77" "Animacja  /  Dramat  /  Muzyczny" "  Alan Parker " "Wielka Brytania" "1 godz. 35 min."
"Pokój " "2015" "/film/Pok%C3%B3j-2015-731541" 181958 "7,77" "Dramat" "  Lenny Abrahamson " "Irlandia  /  Kanada  /  USA  /  Wielka Brytania" "1 godz. 58 min."
"Shrek " "2001" "/film/Shrek-2001-9509" 806306 "7,76" "Animacja  /  Familijny  /  Komedia" "  Andrew Adamson   /    Vicky Jenson " "USA" "1 godz. 30 min."
"Porachunki " "1998" "/film/Porachunki-1998-747" 100424 "7,76" "Komedia kryminalna" "  Guy Ritchie " "Wielka Brytania" "1 godz. 47 min."
"Lêk pierwotny " "1996" "/film/L%C4%99k+pierwotny-1996-1067" 116230 "7,75" "Dramat  /  Thriller" "  Gregory Hoblit " "USA" "2 godz. 9 min."
"Stowarzyszenie Umar³ych Poetów " "1989" "/film/Stowarzyszenie+Umar%C5%82ych+Poet%C3%B3w-1989-1262" 298130 "7,75" "Dramat" "  Peter Weir " "USA" "2 godz. 8 min."
"Katedra " "2002" "/film/Katedra-2002-34773" 167213 "7,75" "Animacja  /  Krótkometra¿owy" "  Tomasz Bagiñski " "Polska" " 7 min."
"Blow " "2001" "/film/Blow-2001-4258" 212426 "7,75" "Biograficzny  /  Dramat  /  Krymina³" "  Ted Demme " "USA" "2 godz. 4 min."
"Pó³ ¿artem, pó³ serio " "1959" "/film/P%C3%B3%C5%82+%C5%BCartem%2C+p%C3%B3%C5%82+serio-1959-30671" 97091 "7,75" "Komedia" "  Billy Wilder " "USA" "2 godz. "
"Dzieñ œwira " "2002" "/film/Dzie%C5%84+%C5%9Bwira-2002-31413" 596352 "7,74" "Dramat  /  Komedia  /  Psychologiczny" "  Marek Koterski " "Polska" "1 godz. 33 min."
"Seksmisja " "1983" "/film/Seksmisja-1983-1163" 642013 "7,74" "Komedia  /  Sci-Fi" "  Juliusz Machulski " "Polska" "1 godz. 56 min."
"Seksmisja " "1983" "/film/Seksmisja-1983-1163" 642013 "7,74" "Komedia  /  Sci-Fi" "  Juliusz Machulski " "Polska" "1 godz. 56 min."
"Przeminê³o z wiatrem " "1939" "/film/Przemin%C4%99%C5%82o+z+wiatrem-1939-1314" 102117 "7,74" "Kostiumowy  /  Melodramat" "  George Cukor   /    Sam Wood   / wiêcej..." "USA" "3 godz. 46 min."
"Zaginiona dziewczyna " "2014" "/film/Zaginiona+dziewczyna-2014-695409" 294306 "7,74" "Dramat  /  Thriller" "  David Fincher " "USA" "2 godz. 29 min."
"Helikopter w ogniu " "2001" "/film/Helikopter+w+ogniu-2001-31419" 301248 "7,74" "Dramat  /  Wojenny" "  Ridley Scott " "USA  /  Wielka Brytania" "2 godz. 24 min."
"Pogorzelisko " "2010" "/film/Pogorzelisko-2010-512263" 46910 "7,74" "Dramat  /  Wojenny" "  Denis Villeneuve " "Francja  /  Kanada" "2 godz. 10 min."
"Lektor " "2008" "/film/Lektor-2008-439584" 195089 "7,73" "Melodramat" "  Stephen Daldry " "Niemcy  /  USA" "2 godz. 4 min."
"Przes³uchanie " "1982" "/film/Przes%C5%82uchanie-1982-1200" 51223 "7,73" "Dramat  /  Polityczny" "  Ryszard Bugajski " "Polska" "1 godz. 51 min."
"Wyœcig " "2013" "/film/Wy%C5%9Bcig-2013-628262" 151658 "7,73" "Biograficzny  /  Dramat  /  Sportowy" "  Ron Howard " "Niemcy  /  USA  /  Wielka Brytania" "2 godz. 3 min."
"Miœ " "1980" "/film/Mi%C5%9B-1980-896" 326458 "7,73" "Komedia" "  Stanis³aw Bareja " "Polska" "1 godz. 51 min."
